Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
TC-JJI,40.9994,28.5201,79,4800,257,2019-07-14 21:23:48.747583,34.459779646984565
UR-PSC,41.2287,28.7284,359,1400,138,2019-07-14 21:23:48.747622,3.671476079964651
A7-BFD,41.135,28.7304,359,2925,191,2019-07-14 21:23:48.747653,13.930790450686796
TC-JJR,40.9762,29.3826,338,10625,259,2019-07-14 21:23:48.747684,62.2144087147718
TC-LOG,40.9926,28.3647,87,5225,262,2019-07-14 21:23:50.950244,43.44168038130696
TC-JJI,40.9994,28.5201,79,4800,257,2019-07-14 21:23:50.950317,34.459779646984565
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:23:50.950356,3.0007466250447163
A7-BFD,41.1394,28.7303,359,2850,188,2019-07-14 21:23:50.950386,13.443416033078092
TC-JJR,40.9827,29.3785,334,10525,257,2019-07-14 21:23:50.950416,61.55097232330009
TC-LOG,40.9926,28.3647,87,5225,262,2019-07-14 21:23:53.141414,43.44168038130696
TC-JJI,40.9994,28.5201,79,4800,257,2019-07-14 21:23:53.141488,34.459779646984565
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:23:53.141526,3.0007466250447163
A7-BFD,41.1394,28.7303,359,2850,188,2019-07-14 21:23:53.141556,13.443416033078092
TC-JJR,40.9859,29.3759,329,10475,255,2019-07-14 21:23:53.141586,61.18332692605376
TC-LOG,40.9926,28.3647,87,5225,262,2019-07-14 21:23:55.339603,43.44168038130696
TC-JJI,40.9994,28.5201,79,4800,257,2019-07-14 21:23:55.339676,34.459779646984565
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:23:55.339716,3.0007466250447163
A7-BFD,41.1394,28.7303,359,2850,188,2019-07-14 21:23:55.339747,13.443416033078092
TC-JJR,40.9827,29.3785,334,10525,257,2019-07-14 21:23:55.339777,61.55097232330009
TC-LOG,40.9929,28.373,87,5150,262,2019-07-14 21:23:57.523005,42.91413924055513
TC-JJI,41.0014,28.5344,79,4750,257,2019-07-14 21:23:57.523076,33.63579866546966
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:23:57.523114,3.0007466250447163
A7-BFD,41.1426,28.7302,359,2800,188,2019-07-14 21:23:57.523145,13.08924339515674
TC-JJR,40.9876,29.3743,326,10450,254,2019-07-14 21:23:57.523175,60.9723748421063
TC-LOG,40.9929,28.373,87,5150,262,2019-07-14 21:23:59.721351,42.91413924055513
TC-JJI,41.0021,28.5393,79,4725,257,2019-07-14 21:23:59.721423,33.35761678616804
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:23:59.721462,3.0007466250447163
A7-BFD,41.1451,28.7302,359,2750,183,2019-07-14 21:23:59.721493,12.812080844276924
TC-JJR,40.9876,29.3743,326,10450,254,2019-07-14 21:23:59.721523,60.9723748421063
TC-LOG,40.9929,28.373,87,5150,262,2019-07-14 21:24:01.918043,42.91413924055513
TC-JJI,41.0021,28.5393,79,4725,257,2019-07-14 21:24:01.918115,33.35761678616804
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:01.918155,3.0007466250447163
A7-BFD,41.1451,28.7302,359,2750,183,2019-07-14 21:24:01.918188,12.812080844276924
TC-JJR,40.9876,29.3743,326,10450,254,2019-07-14 21:24:01.918219,60.9723748421063
TC-LOG,40.9931,28.3792,87,5100,261,2019-07-14 21:24:04.162334,42.52511706181715
TC-JJI,41.0027,28.5436,79,4700,255,2019-07-14 21:24:04.162407,33.117293399160786
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:04.162447,3.0007466250447163
A7-BFD,41.149,28.7301,359,2675,179,2019-07-14 21:24:04.162480,12.380500763887994
TC-JJR,40.9936,29.3662,310,10350,248,2019-07-14 21:24:04.162512,60.05025032150396
TC-LOG,40.9931,28.3792,87,5100,261,2019-07-14 21:24:06.504959,42.52511706181715
TC-JJI,41.0027,28.5436,79,4700,255,2019-07-14 21:24:06.505032,33.117293399160786
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:06.505070,3.0007466250447163
A7-BFD,41.149,28.7301,359,2675,179,2019-07-14 21:24:06.505100,12.380500763887994
TC-JJR,40.9936,29.3662,310,10350,248,2019-07-14 21:24:06.505130,60.05025032150396
TC-LOG,40.9935,28.389,87,5000,261,2019-07-14 21:24:08.691293,41.90939648755277
TC-JJI,41.0039,28.5524,79,4675,251,2019-07-14 21:24:08.691365,32.63549562971143
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:08.691403,3.0007466250447163
